# Base	Otros 
caballero	dama
#chaval	chavala
chico	chica
chiquillo	chiquilla
hombre	mujer
marido	esposa
muchacho	muchacha
nene	nena
niño	niña
señor	señora
tipo	tipa

# Familia
abuelo	abuela
hermano	hermana
joven	joven
padre	madre

# Profesiones https://www.wikilengua.org/index.php/Profesiones_en_g%C3%A9nero_femenino
#amanuense	amanuense
#augur	augur
#cicerone	cicerone
#estudiante	estudiante
#faquir	faquir
#ujier	ujier
actor	actriz
agente	agente
alcalde	alcaldesa
alumno	alumna
aprendiz	aprendiz
arquitecto	arquitecta
auxiliar	auxiliar
bedel	bedel
bombero	bombera
brigada	brigada
cabo	cabo
cacique	cacica.
capataz	capataz
capitán	capitán
chef	chef
cliente	clienta
concejal	concejal
concejal	concejala
conferenciante	conferenciante
conserje	conserje
cónsul	cónsul
corresponsal	corresponsal
dependiente	dependienta
dibujante	dibujante
diputado	diputada
emperador	emperatriz
escritor	escritora
estudiante	estudiante
fisioterapeuta	fisioterapeuta
ginecólogo	ginecóloga
gobernador	gobernadora
héroe	heroína
ingeniero	ingeniera
jefe	jefa
juez	juez
juez	jueza
juglar	juglaresa
médico	médica
médium	médium
mercader	mercader
miembro	miembro
militar	militar
ministro	ministra
modelo	modelo
orfebre	orfebre
otorrino	otorrino
otorrinolaringólogo	otorrinolaringóloga
piloto	piloto
pinche	pinche
pívot	pívot
portavoz	portavoz
presidente	presidenta
profesor	profesora
sargento	sargento
sastre	sastra
sastre	sastre
sirviente	sirvienta
soldado	soldado
teniente	teniente
testigo	testigo
timonel	timonel
vagabundo	vagabunda
